id,name,city_id,city_name
713,Wynnefield Heights,2,Philadelphia
714,Rancho Park,8,Los Angeles
715,Wynnefield,2,Philadelphia
716,Reseda,8,Los Angeles
717,Yorktown,2,Philadelphia
718,Reynier Village,8,Los Angeles
719,Blue Bell Hill,2,Philadelphia
720,Rose Hills,8,Los Angeles
721,Centennial District,2,Philadelphia
722,Rustic Canyon,8,Los Angeles
723,Christian Street Historic District,2,Philadelphia
724,San Pedro,8,Los Angeles
725,Druim Moir Historic District,2,Philadelphia
726,Sawtelle,8,Los Angeles
727,Elfreth's Alley,2,Philadelphia
728,Shadow Hills,8,Los Angeles
729,Fabric Row,2,Philadelphia
730,Sherman Oaks,8,Los Angeles
731,Lower North Philadelphia,2,Philadelphia
732,Sherman Village,8,Los Angeles
733,Nicetown–Tioga,2,Philadelphia
734,Silver Lake,8,Los Angeles
735,North Philadelphia East,2,Philadelphia
736,Skid Row,8,Los Angeles
737,North Philadelphia West,2,Philadelphia
738,Solano Canyon,8,Los Angeles
739,Northwest Philadelphia,2,Philadelphia
740,Sonoratown,8,Los Angeles
741,Penn's Landing,2,Philadelphia
742,"South Central, Historic",8,Los Angeles
743,Philadelphia Badlands,2,Philadelphia
744,South Carthay,8,Los Angeles
745,Philadelphia Koreatown,2,Philadelphia
746,South Park,8,Los Angeles
747,Sansom Row,2,Philadelphia
748,South Robertson,8,Los Angeles
749,Society Hill,2,Philadelphia
750,Spaulding Square,8,Los Angeles
751,South Philadelphia Sports Complex,2,Philadelphia
752,Studio City,8,Los Angeles
753,Upper North Philadelphia,2,Philadelphia
754,Sunland,8,Los Angeles
755,West Passyunk,2,Philadelphia
756,Sunset Junction,8,Los Angeles
757,West Philadelphia Streetcar Suburb Historic District,2,Philadelphia
758,Sun Valley,8,Los Angeles
759,Sylmar,8,Los Angeles
760,Tarzana,8,Los Angeles
761,Terminal Island,8,Los Angeles
762,Thai Town,8,Los Angeles
763,Toluca Lake,8,Los Angeles
764,Toy District,8,Los Angeles
765,Tujunga,8,Los Angeles
766,University Hills,8,Los Angeles
767,University Park,8,Los Angeles
768,"University Park, North",8,Los Angeles
769,Valley Glen,8,Los Angeles
770,Valley Village,8,Los Angeles
771,Van Nuys,8,Los Angeles
772,Venice,8,Los Angeles
773,Vermont Knolls,8,Los Angeles
774,Vermont-Slauson,8,Los Angeles
775,Vermont Square,8,Los Angeles
776,Vermont Vista,8,Los Angeles
777,Victor Heights,8,Los Angeles
778,Victoria Park,8,Los Angeles
779,Village Green,8,Los Angeles
780,Virgil Village,8,Los Angeles
